Subject,Start_Date,Start_Time,End_Date,End_Time,Location,All_Day_Event
21726 - Base de Dades II / 01M01,21/12/2017,16:30,21/12/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,08/11/2017,08:30,08/11/2017,10:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21723 - Gestió de Projectes / 01X03,08/11/2017,10:30,08/11/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01G,20/12/2017,15:30,20/12/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21722 - Intel·ligència Artificial / 01G,07/11/2017,08:30,07/11/2017,09:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01G,21/12/2017,15:30,21/12/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21722 - Intel·ligència Artificial / 01X01,07/11/2017,09:30,07/11/2017,10:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01M01,20/12/2017,16:30,20/12/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01X01,18/12/2017,12:30,18/12/2017,13:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21710 - Teoria de la Computació / 01G,22/12/2017,12:30,22/12/2017,14:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21726 - Base de Dades II / 01G,18/12/2017,15:30,18/12/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01G,19/12/2017,15:30,19/12/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01X02,22/12/2017,10:30,22/12/2017,11:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01G,21/12/2017,12:30,21/12/2017,14:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01G,18/12/2017,11:30,18/12/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,22/12/2017,11:30,22/12/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,20/12/2017,08:30,20/12/2017,10:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21723 - Gestió de Projectes / 01G,21/12/2017,10:30,21/12/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21722 - Intel·ligència Artificial / 01G,19/12/2017,08:30,19/12/2017,09:20,Anselm Turmeda Aula A8.Planta primera ala est,False
Vacances de Nadal,23/12/2017,,05/01/2018,,,False
21726 - Base de Dades II / 01G,23/11/2017,15:30,23/11/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21722 - Intel·ligència Artificial / 01X01,19/12/2017,09:30,19/12/2017,10:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21723 - Gestió de Projectes / 01X03,20/12/2017,10:30,20/12/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01M01,22/11/2017,16:30,22/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01G,22/11/2017,15:30,22/11/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01G,21/11/2017,15:30,21/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,24/11/2017,11:30,24/11/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21726 - Base de Dades II / 01G,20/11/2017,15:30,20/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01G,24/11/2017,12:30,24/11/2017,14:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01G,23/11/2017,12:30,23/11/2017,14:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01X01,20/11/2017,12:30,20/11/2017,13:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21710 - Teoria de la Computació / 01G,20/11/2017,11:30,20/11/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21723 - Gestió de Projectes / 01G,23/11/2017,10:30,23/11/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01X02,24/11/2017,10:30,24/11/2017,11:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21723 - Gestió de Projectes / 01X03,22/11/2017,10:30,22/11/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,22/11/2017,08:30,22/11/2017,10:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01G,21/11/2017,08:30,21/11/2017,09:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01M01,30/11/2017,16:30,30/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21722 - Intel·ligència Artificial / 01X01,21/11/2017,09:30,21/11/2017,10:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01M01,29/11/2017,16:30,29/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01G,01/12/2017,12:30,01/12/2017,14:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21713 - Comunicacions de Dades i Xarxes / 01X02,01/12/2017,10:30,01/12/2017,11:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
